type,tag-serial-number,burst-start-timestamp,annotation,eobs_acceleration_sampling_frequency_per_axis,sample-timestamp,acceleration-x,acceleration-y,acceleration-z
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:42.300,2095.0,2367.0,1649.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:42.400,2101.0,2368.0,1666.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:42.500,2102.0,2385.0,1649.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:16.000,2169.0,2356.0,1639.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:16.100,2165.0,2337.0,1639.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:16.200,2182.0,2341.0,1666.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:16.300,2171.0,2363.0,1643.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:16.400,2167.0,2325.0,1623.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:16.500,2199.0,2349.0,1682.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:16.600,2177.0,2353.0,1639.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:16.700,2159.0,2299.0,1627.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:16.800,2165.0,2331.0,1645.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:16.900,2144.0,2308.0,1618.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:17.000,2206.0,2326.0,1634.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:17.100,2204.0,2321.0,1663.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:17.200,2166.0,2296.0,1609.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:17.300,2135.0,2231.0,1584.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:17.400,2206.0,2330.0,1667.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:17.500,2186.0,2381.0,1662.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:17.600,2163.0,2310.0,1614.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:17.700,2171.0,2294.0,1625.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:17.800,2169.0,2340.0,1667.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:17.900,2161.0,2340.0,1622.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:18.000,2183.0,2303.0,1631.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:18.100,2200.0,2311.0,1663.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:18.200,2195.0,2341.0,1650.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:18.300,2202.0,2323.0,1642.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:18.400,2185.0,2337.0,1673.0
acc,0,2020-07-21 06:37:16.000,"keep",10.0,2020-07-21 06:37:18.500,2177.0,2351.0,1662.0
acc,0,2020-07-21 06:37:20.000,"keep",10.0,2020-07-21 06:37:20.000,2141.0,2282.0,1593.0
acc,0,2020-07-21 06:37:20.000,"keep",10.0,2020-07-21 06:37:20.100,2094.0,2266.0,1591.0
