dog,sample,burst-timestamp,sample-timestamp,behaviour,X,Y,Z
belle,118343,51:27.0,51:42.0,forage,2261,2075,1620
belle,118344,51:27.0,51:42.1,forage,2302,2300,1267
belle,118345,51:27.0,51:42.2,forage,2148,2232,1531
belle,118346,51:27.0,51:42.3,forage,2110,2069,1591
belle,118347,51:27.0,51:42.4,forage,1929,2162,1546
belle,118348,51:27.0,51:42.5,forage,1999,2098,1634
belle,118349,51:27.0,51:42.6,forage,1922,2061,1536
belle,118350,51:27.0,51:42.7,forage,2082,2202,1561
belle,118351,51:27.0,51:42.8,forage,1895,2169,1680
belle,118352,51:27.0,51:42.9,forage,1990,2108,1689
belle,118363,51:27.0,51:44.0,forage,2237,2335,1588
belle,118364,51:27.0,51:44.1,forage,2355,2093,1561
belle,118365,51:27.0,51:44.2,forage,2117,2192,1512
belle,118366,51:27.0,51:44.3,forage,2154,2126,1673
belle,118367,51:27.0,51:44.4,forage,2129,2187,1626
belle,118368,51:27.0,51:44.5,forage,2282,2099,1493
belle,118369,51:27.0,51:44.6,forage,2243,2126,1550
belle,118370,51:27.0,51:44.7,forage,2240,2286,1697
belle,118371,51:27.0,51:44.8,forage,2164,2167,1511
belle,118372,51:27.0,51:44.9,forage,2282,2230,1791
belle,118424,51:48.0,51:53.0,run,2558,2031,2037
belle,118425,51:48.0,51:53.1,run,2393,3232,513
belle,118426,51:48.0,51:53.2,run,2512,2693,1575
belle,118427,51:48.0,51:53.3,run,2716,2538,2437
belle,118428,51:48.0,51:53.4,run,3136,2662,1619
belle,118429,51:48.0,51:53.5,run,2263,2369,1843
belle,118430,51:48.0,51:53.6,run,1858,2691,2126
belle,118431,51:48.0,51:53.7,run,1101,2059,1922
belle,118432,51:48.0,51:53.8,run,2382,2555,1286
belle,118433,51:48.0,51:53.9,run,2042,2327,1762
belle,118434,51:48.0,51:54.0,run,2063,2042,2001
belle,118435,51:48.0,51:54.1,run,1914,2235,1691
belle,118436,51:48.0,51:54.2,run,2142,2474,1088
belle,118437,51:48.0,51:54.3,run,2296,2296,1311
belle,118438,51:48.0,51:54.4,run,2257,2246,1733
belle,118439,51:48.0,51:54.5,run,2141,1954,2080
belle,118440,51:48.0,51:54.6,run,2623,2312,788
belle,118441,51:48.0,51:54.7,run,1946,2197,1845
belle,118442,51:48.0,51:54.8,run,2174,2381,1414
belle,118443,51:48.0,51:54.9,run,1886,2254,1409
belle,118513,51:48.0,52:02.0,run,0,1265,2522
belle,118514,51:48.0,52:02.1,run,2147,2639,2771
belle,118515,51:48.0,52:02.2,run,1990,942,369
belle,118516,51:48.0,52:02.3,run,1427,964,1759
belle,118517,51:48.0,52:02.4,run,870,1776,3465
belle,118518,51:48.0,52:02.5,run,2337,3232,606
belle,118519,51:48.0,52:02.6,run,1244,1529,1703
belle,118520,51:48.0,52:02.7,run,695,2220,3914
belle,118521,51:48.0,52:02.8,run,4095,2560,1495
belle,118522,51:48.0,52:02.9,run,1480,2910,685
belle,118523,51:48.0,52:03.0,run,1488,1454,2960
belle,118524,51:48.0,52:03.1,run,1880,2138,2868
belle,118525,51:48.0,52:03.2,run,2091,1973,1016
belle,118526,51:48.0,52:03.3,run,1741,2560,1371
belle,118527,51:48.0,52:03.4,run,183,2034,2061
belle,118528,51:48.0,52:03.5,run,2536,2107,2446
belle,118529,51:48.0,52:03.6,run,2116,2083,1835
belle,118530,51:48.0,52:03.7,run,556,2706,0
belle,118531,51:48.0,52:03.8,run,2080,1743,1651
belle,118532,51:48.0,52:03.9,run,1248,1937,2410
belle,118533,51:48.0,52:04.0,run,2839,1840,2051
belle,118534,51:48.0,52:04.1,run,2047,2106,1838
belle,118535,51:48.0,52:04.2,run,1204,2473,21
belle,118536,51:48.0,52:04.3,run,2362,2240,1951
belle,118537,51:48.0,52:04.4,run,2654,2164,2313
belle,118538,51:48.0,52:04.5,run,248,2047,0
belle,118539,51:48.0,52:04.6,run,2307,2445,2437
belle,118540,51:48.0,52:04.7,run,3118,930,1062
belle,118541,51:48.0,52:04.8,run,2618,2220,846
belle,118542,51:48.0,52:04.9,run,2867,2350,2372
belle,118543,51:48.0,52:05.0,run,2443,2081,2797
belle,118544,51:48.0,52:05.1,run,1290,2762,580
belle,118545,51:48.0,52:05.2,run,1923,1584,1453
belle,118546,51:48.0,52:05.3,run,1247,1795,2206
belle,118547,51:48.0,52:05.4,run,2635,2352,1254
belle,118548,51:48.0,52:05.5,run,2066,3861,395
belle,118549,51:48.0,52:05.6,run,2790,2206,1456
belle,118550,51:48.0,52:05.7,run,2377,1926,3043
belle,118551,51:48.0,52:05.8,run,2403,2865,1480
