"","type","tag.serial.number","burst.start.timestamp","annotation","eobs_acceleration_sampling_frequency_per_axis","sample.timestamp","acceleration.x","acceleration.y","acceleration.z"
"155","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:42.400",1788,2381,1761
"156","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:42.500",1781,2383,1761
"157","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:09.000",1767,2366,1755
"158","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:09.100",1767,2352,1740
"159","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:09.200",1769,2354,1743
"160","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:09.300",1770,2353,1738
"161","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:09.400",1780,2353,1732
"162","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:09.500",1769,2348,1727
"163","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:09.600",1787,2341,1727
"164","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:09.700",1782,2362,1742
"165","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:09.800",1805,2411,1746
"166","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:09.900",1791,2316,1737
"167","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:10.000",1772,2305,1729
"168","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:10.100",1756,2373,1737
"169","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:10.200",1810,2369,1774
"170","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:10.300",1756,2411,1784
"171","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:10.400",1755,2375,1805
"172","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:10.500",1766,2412,1814
"173","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:10.600",1769,2401,1815
"174","acc",0,"2020-07-21 00:27:09.000","keep",10,"2020-07-21 00:27:10.700",1742,2394,1816
